article,importance,importance_updated,quality,quality_updated,article_history_link,article_link,article_talk,article_talk_link,title,page_id,ns
William S. Sadler,Low-Class,2012-03-14T18:16:30Z,FA-Class,2012-06-24T00:33:08Z,https://en.wikipedia.org/w/index.php?title=William%20S.%20Sadler&action=history,https://en.wikipedia.org/w/index.php?title=William%20S.%20Sadler,Talk:William S. Sadler,https://en.wikipedia.org/w/index.php?title=Talk:William%20S.%20Sadler,William S. Sadler,2113994,0.0
List of books bound in human skin,Low-Class,2023-09-03T04:02:48Z,FL-Class,2023-10-09T00:25:40Z,https://en.wikipedia.org/w/index.php?title=List%20of%20books%20bound%20in%20human%20skin&action=history,https://en.wikipedia.org/w/index.php?title=List%20of%20books%20bound%20in%20human%20skin,Talk:List of books bound in human skin,https://en.wikipedia.org/w/index.php?title=Talk:List%20of%20books%20bound%20in%20human%20skin,List of books bound in human skin,74680914,0.0
Hemothorax,Mid-Class,2007-10-11T21:33:48Z,GA-Class,2019-04-25T16:47:04Z,https://en.wikipedia.org/w/index.php?title=Hemothorax&action=history,https://en.wikipedia.org/w/index.php?title=Hemothorax,Talk:Hemothorax,https://en.wikipedia.org/w/index.php?title=Talk:Hemothorax,Hemothorax,2166658,0.0
Histamine N-methyltransferase,Mid-Class,2023-12-01T11:35:19Z,GA-Class,2024-03-26T19:05:02Z,https://en.wikipedia.org/w/index.php?title=Histamine%20N-methyltransferase&action=history,https://en.wikipedia.org/w/index.php?title=Histamine%20N-methyltransferase,Talk:Histamine N-methyltransferase,https://en.wikipedia.org/w/index.php?title=Talk:Histamine%20N-methyltransferase,Histamine N-methyltransferase,11472211,0.0
"2,3,7,8-Tetrachlorodibenzodioxin",Low-Class,2010-02-09T21:59:21Z,GA-Class,2012-10-14T02:09:51Z,https://en.wikipedia.org/w/index.php?title=2%2C3%2C7%2C8-Tetrachlorodibenzodioxin&action=history,https://en.wikipedia.org/w/index.php?title=2%2C3%2C7%2C8-Tetrachlorodibenzodioxin,"Talk:2,3,7,8-Tetrachlorodibenzodioxin",https://en.wikipedia.org/w/index.php?title=Talk:2%2C3%2C7%2C8-Tetrachlorodibenzodioxin,"2,3,7,8-Tetrachlorodibenzodioxin",23789332,0.0
Abortion in Madagascar,Low-Class,2024-09-14T19:24:42Z,GA-Class,2025-07-13T18:03:32Z,https://en.wikipedia.org/w/index.php?title=Abortion%20in%20Madagascar&action=history,https://en.wikipedia.org/w/index.php?title=Abortion%20in%20Madagascar,Talk:Abortion in Madagascar,https://en.wikipedia.org/w/index.php?title=Talk:Abortion%20in%20Madagascar,Abortion in Madagascar,77368508,0.0
Desquamative interstitial pneumonia,Low-Class,2013-03-11T00:36:18Z,GA-Class,2024-10-23T22:12:16Z,https://en.wikipedia.org/w/index.php?title=Desquamative%20interstitial%20pneumonia&action=history,https://en.wikipedia.org/w/index.php?title=Desquamative%20interstitial%20pneumonia,Talk:Desquamative interstitial pneumonia,https://en.wikipedia.org/w/index.php?title=Talk:Desquamative%20interstitial%20pneumonia,Desquamative interstitial pneumonia,20611715,0.0
Interventricular foramina (neuroanatomy),Low-Class,2017-11-12T02:52:31Z,GA-Class,2017-11-12T23:55:34Z,https://en.wikipedia.org/w/index.php?title=Interventricular%20foramina%20%28neuroanatomy%29&action=history,https://en.wikipedia.org/w/index.php?title=Interventricular%20foramina%20%28neuroanatomy%29,Talk:Interventricular foramina (neuroanatomy),https://en.wikipedia.org/w/index.php?title=Talk:Interventricular%20foramina%20%28neuroanatomy%29,Interventricular foramina (neuroanatomy),1708336,0.0
Pablo Busch,Low-Class,2024-11-07T00:59:32Z,GA-Class,2025-03-19T00:42:21Z,https://en.wikipedia.org/w/index.php?title=Pablo%20Busch&action=history,https://en.wikipedia.org/w/index.php?title=Pablo%20Busch,Talk:Pablo Busch,https://en.wikipedia.org/w/index.php?title=Talk:Pablo%20Busch,Pablo Busch,78302779,0.0
Stomach cancer,Top-Class,2009-10-23T19:39:05Z,B-Class,2008-03-26T20:45:37Z,https://en.wikipedia.org/w/index.php?title=Stomach%20cancer&action=history,https://en.wikipedia.org/w/index.php?title=Stomach%20cancer,Talk:Stomach cancer,https://en.wikipedia.org/w/index.php?title=Talk:Stomach%20cancer,Stomach cancer,261613,0.0
Antipsychotic,High-Class,2007-11-19T17:49:06Z,B-Class,2023-12-28T02:24:02Z,https://en.wikipedia.org/w/index.php?title=Antipsychotic&action=history,https://en.wikipedia.org/w/index.php?title=Antipsychotic,Talk:Antipsychotic,https://en.wikipedia.org/w/index.php?title=Talk:Antipsychotic,Antipsychotic,2870,0.0
