id,section,user,timestamp,comment,parent_id,indent_level,article,page_id
2113994_53cde6_1,(untitled),T. Anthony,"08:51, 6 October 2005","Something about this strikes me as vaguely POV, but I don't know enough about the history of American psychology to say. It would be nice though if it had some kind of, preferrably non-Urantian, source for statements like ""regarded by his colleagues as a professional researcher of considerable integrity"", ""considered one of the world's foremost authorities"", etc. I did find a site on the chautauqua scene that stated he was known for exposing medical quackery and one on Adventism that said he was known as a physician. So it might all be legitimate, but it would just be nice to know where these accolades came from.--",,0,William S. Sadler,2113994
2113994_6fbd41_1,Improvements,Edivorce,"16:37, 16 December 2005","A few months ago I made some minor edits to this article to lessen POV.  It was the first article on Wikipedia I edited.  Current article is a great improvement, day and night type of change. Should it still be considered a stub?--",,0,William S. Sadler,2113994
2113994_6fbd41_2,Improvements,96.239.135.225,"22:41, 21 August 2008","Sadler published a book titled Long Heads and Round Heads in 1918, which attempted to explain how the German ""race"" could produce both artits like Beethoven and brutal soldiers currently capable of bayonetting Belgian babies .  His conclusion was that there were long-headed Germans ( e.g. Lundendorf) and short-headed Germans ( e.g.Hindenburg), the former being civilised and higher-evolved, the shorter ones brutish and less-evolved. Happily for Americans, he concluded that the good long-headed ones moved to the US, but this left the brutal short-headed ones in charge for WWI.  Not sure how to tie this with the rest of what seems an exemplary career in psychiatry, but the Social Darwinism is quite a product of the time.",,0,William S. Sadler,2113994
2113994_cf045e_1,More improvements needed,ScienceStorm,"04:36, 10 July 2009","In the text:
“Sadler did not adhere to purely mechanistic or materialistic views of psychology and psychiatry and was a consistent advocate of broad and rational principles of psychiatry”
Then, later:
“[He] held the life-long opinion that all psychic phenomena was explainable within the confines of the laws of nature.”
There is a blatant contradiction here. Moreover, I don’t see why adhering to “purely” mechanistic or materialistic views wouldn’t be consistent with broad and rational principles of psychiatry.
Also, the text is somewhat glorifying but improperly referenced. For example: ''“He was considered one of the world's foremost authorities on the subject [...]”'' – by who/what organization? The only way to know him seems to be through an organization that is directly linked to him and that would benefit from his glorification. I strongly feel this as unacceptable for an encyclopaedic project.",,0,William S. Sadler,2113994
2113994_b7525f_1,Inadequate Article,Ldmjr,"08:15, 16 August 2009","This article serious misrepresents the man and his life work. The coverage of the Urantia Book is especially deplorable. A few matters that are missing from the article include:
Sadler received his initial medical training at Battle Creek Clinic and graduated in 1894 as a qualified Medical Evangelist.
Sadler initially sided with John Harvey Kellogg in the disputes with the Adventist General Conference and Ellen White over control of the clinic.
Sadler initiated a dispute with Ellen White over the authenticity of some of her organizational visions for the future of the Adventist medical enterprise, eventually leading to a complete break with the church. Yet Sadler totally missed the rebellion of the young doctors (Battle Creek early graduates) against Kellogg that led directly the formation of the College of Medical Evangelists within the church organization and eventually gave birth to the adoption by Adventist physicians of modern medical practice. Refer to background on how Adventist medical school at Loma Linda California came into being.
Sadler recognized early that he was in no way qualified to practice medicine, even after his subsequent education and chose to make his way in the emerging field of ""mind cures"" (for psychosomatic illness).
Sadler is known to have visited Freud and rejected the foundations of emerging psychoanalysis on moral and ethical grounds.
Sadler was a significant figure in the popularization of mind cures in the Chicago area and used his lecturing skills as the basis for building his practice in the Chicago area (office eventually located at 533 Diversey Parkway, now occupied by Urantia Foundation).
Sadler is known to have experimented with ""radium emanation"" (now recognized as the element Radon) in his practice. He kept a lead-lined box mounted to a wall in the laboratory in his office at 533 for the storage of Radium. When Urantia Foundation redecorated and upgraded the first floor of the building at 533 Diversey, the walls and floor of this room (then being used as a kitchen by Urantia Foundation) were found to be covered with sheets of lead. As far as I know, no formal effort was taken to decontaminate the facility. Perhaps, after 50+ years, it was no longer necessary.
Sadler authored a vast number of books, mostly of a popular nature, some of a dogmatic and semi-political nature (e.g., the popular Longheads and Roundheads and the more obscure academic treatise Racial Degeneracy), and at least one well-known textbook (Theory and Practice of Psychiatry).
Sadler abandoned the use of hydrotherapy, a mainstay of Battle Creek, and eventually settled on electroconvulsive therapy as the basis for his practice (aside from the more benign and better informed talk therapy).
Sadler was far more deeply involved in the activities that led to the publication of the Urantia Book than this article suggests. The Appendix to his semi-professional book debunking psychic phenomena (The Mind at Mischief) contains his description of two cases of psychic phenomena which he found inexplicable. The first of these is clearly the case of Ellen Gould White (the prophetess of the Adventist movement who picked up the cult where William Miller left off). The second and more extensively discussed is the case of the contact personality through whom the supernatural contact that led to the creation of the Urantia papers was facilitated.
Sadler created a group, known as ""the forum"", comprised of selected patients and family members, that met regularly at 533 on Sundays to discuss the content of the Urantia Papers, which were allegedly being actively edited by the supernatural beings with which he had initially established contact around 1906. This group was entirely Sadler's enterprise, and he ran it with an unchallengeable authoritarian manner.
The Forum included William M. Hales, prominent member of the Board of Trade, who made the market in malt. While Hales was enormously wealthy, Sadler refused to allow him to fund publication of the Urantia Papers as the Urantia Book, insisting that all the interested Forum members contribute according to their ability and no one dominating the enterprise. Hales created a family trust, which was one of the financial mainstays of Urantia Foundation (publisher of the Urantia Book) and the Urantia Brotherhood, an affinity group for persons interested in the Urantia Book (now named The Fellowship for Readers of The Urantia Book) especially in the early years after publication in 1955.
It is not known how many of the early Forum members were selected from Sadler's ECT patients, but William M. Hales is known to have been one.
At his death, Sadler had bequeathed ownership of the clinic building at 533 Diversey to Urantia Foundation, with a proviso that certain individuals (Emma Christensen and Leone Sadler, the first wife of his son, Bill Sadler, Jr.) be given lifetime residence in apartments within the building.
There is much more that could be added to flesh out this article; however, this is already enough for an entire book.
In his final opus How to Know What to Believe (ca. 1976), Harold Sherman provided a concise and negative portrayal of much of the Forum activity during the years he was initimately involved (and lived in an apartment building across the street from 533). Square Circles Press ([link] has recently published Harold Sherman's collected papers from an archive at the University of Arkansas in six volumes. The papers provide a much less negative but much more detailed picture of the Forum and its associated members than contained in How to Know What to Believe.
On very limited evidence it appears possible that the Urantia ""contact"" person was brought to Sadler's attention by Harry Loose, a retired and slightly disabled Chicago police officer, who lectured on the Chautauqua circuit with the Sadler troupe (not as a member of the troupe, just another Chautaquan). There is some slight evidence for Loose having been at the time a member of an occult initiatory order in the Chicago area--possibly the Chicago chapter of the Astrum Agentinium or the Ordo Templi Orientis--but this borders on pure speculation.
Since the bulk of this information is based on personal experience and accounts of the period from friends whose families were variously involved in the Forum, it probably would not meet Wikipedia standards. I have presented it here as an archivable addendum, which may inspire others to write more fully on the subject. Or perhaps I will find time and motivation to convert some of it (for which published documents exist) into the main article someday.",,0,William S. Sadler,2113994
2113994_b7525f_2,Inadequate Article,Ldmjr,"14:52, 28 August 2009","I have corrected my previous remarks regarding the Sadler bequest to Urantia Foundation, where I had incorrectly named Bill Sadler, Jr.'s second wife as his first. Bill's divorce from Leone was a subject of considerable division of affection within the family and Forum. Bill's second wife, Florine Hemmings, was not fully accepted within the Forum community, although a dedicated supporter of the Urantia movement. This was related closely to the first split within the Forum, which led eventually to the formation of the distinct First and Second Urantia Societies in Chicago, with the Second focusing more on Bill's scholarship than on his father's leadership in the original Forum. After Bill's death (on November 22, 1963, the day of the Kennedy assassination) Florine campaigned for and achieved private publication of Bill's papers about The Urantia Book as A Study of the Master Universe and Appendices to A Study of the Master Universe with the support of the Second Society Foundation (the Second Society dissolved after Bill's death), the Orvonton Urantia Society, and especially the First Urantia Society of Oklahoma City, all of which had bonds of affection to Bill.
After Dr. Sadler's death, the third floor at 533 continued as the residence of Emma Christensen and the rear half of the second floor was the residence of Leone Sadler and Helen Carlson (who were, I think, both sisters and widows). For many years after publication of The Urantia Book, Leone and Helen, and, then Helen alone, served as the Custodians of The Urantia Book, maintaining detailed records of the destination of every single copy of the book shipped from 533. This function was terminated after Helen's passing and the ancient files may not have been preserved.
With regard to the speculation about the role of Harry Loose in bringing the ""contact person"" to the attention of Dr. Sadler, it should be noted that there are many theories of the origin and nature of the contact. Some among the followers of Bill Sadler believed that he had been the contact. If so, the phenomenon would have begun when he was a child, perhaps 6-7 years old. This view departs greatly from the idea that the contact occurred as described in The Mind at Mischief; however, the experience for Dr. Sadler and Lena Sadler if this occurred would have taken the phenomenon totally outside the range of typical human experience and justified the level of interest, spanning many years, which the two doctors had in the continuing contact. This theory has some difficulties with family chronology, since Bill is reported to have enlisted in the Army at an early age (around 17) and served in the largely forgotten occupation of Nicaragua. Thus, if Bill were the contact, such contact would have been interrupted after a mere 10 years, well before the Forum began its study of the papers.
The other prevalent theory as to the identity of the contact has been presented by Martin Gardner in Urantia: The Great Cult Mystery, in which Gardner names Wilfred Kellogg, who, with his wife Ruth, lived in an apartment over the garage at the rear of 533 while employed by Dr. Sadler as the business manager for his practice of psychiatry. Wilfred was the first person to attempt creation of an index to the book, an effort which passed to Edith Cook, one of three sisters close to the Sadler family and the Forum. After the book became better known in the 1970's and once inexpensive indexing software became available for personal computers in the 1980's, a number of believers indexed the book, experimenting with various tools until several versions indexed with Folio Views appeared more or less simultaneously in the late 1980's and early 90's. These tools finally enabled both Urantia Foundation and their legal opponent in the landmark copyright litigation, Harry McMullan, III, to create fairly scholarly printed indexes, although the first such reference tool had been created much earlier by Clyde Bedell (Forum member and later member of The First Urantia Society of Los Angeles) and published, with copyright approval, as ''Clyde Bedell's Concordex of The Urantia Book''. The Concordex, though a somewhat interpretive and personal work lacking very specific references, was the mainstay of devoted students before the advent of more complete indexes, and continues to be used by many.",,0,William S. Sadler,2113994
2113994_eeef24_1,a couple of edits,Wikipelli,"19:32, 29 February 2012","I visited the lede for a little bit this afternoon. The first thing that I noticed was 2 sentences in a row beginning with, ""After..."".  So I started there. Unfortunately, I ended with one of the sentences containing the word ""patient"" twice. It's tough to get a handle on how to say that Sadler heard an extraterrestial speaking through the patient. The word 'subject' threw me a little (is the subject the same as the patient? etc). So, there it is.  :) Probably more muddled...
Minor edit on the meetings at Sadler's home.
The last sentence I had a little trouble with and it's subjective, I think. To me, a 'book' can't become an organized religion.  The 'study'/'belief in'/'following of' the book can. It's semantics and I'm not sure I'm on the right track. So I made that little change.
Accept or reject - won't hurt my feelings at all!  :)  Nice article! '",,0,William S. Sadler,2113994
2113994_eeef24_2,a couple of edits,Mark Arsten,"20:24, 29 February 2012","Hey, thanks. Those edits look fine to me. Good catch about the book there!",2113994_eeef24_1,1,William S. Sadler,2113994
2113994_979358_1,Peer review,Despayre,"02:27, 5 April 2012","Lead:
:- changed ""In 1907, along with his wife, Sadler"" to ""In 1907, Sadler, along with his wife,""
:- would suggest removing the entire ""along with his wife"" clause, as the rest of the sentence refers to ""he"" everywhere, or was she also a highly-paid, popular speaker?
:- for flow, that sentence should change its pronouns (or remove the wife clause) to:
::In 1907, Sadler, along with his wife, became speakers on the Chautauqua adult-education circuit, where they became highly-paid, popular speakers.
or, depending on the intent of that sentence,
::In 1907, Sadler, along with his wife, became speakers on the Chautauqua adult-education circuit, where he went on to become a highly-paid, popular speaker.
I'm not crazy about saying they became speakers and then he became a ... speaker. Different word at the end maybe? Guest lecturer? Educator? Orator?
:- corrected ""debunker"" (from dubunker)
:- replaced the ':' with a ';' as per MOS
:- added the ""they"" in ""and they conversed about spirituality""
More later...
--",,0,William S. Sadler,2113994
2113994_979358_2,Peer review,Mark Arsten,"02:40, 5 April 2012","Great, thanks for the help thus far, hope you've recovered from your Megatron-copyediting :)",2113994_979358_1,1,William S. Sadler,2113994
